,Movie Title,Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD),Domestic Box Office (USD),budget,release_date,popularity
156,Fantastic Beasts: The Crimes of Grindelwald,"Adventure, Family, Fantasy",tt4123430,134.0,6.6,654855901,159555901,200000000.0,2018-11-14,31.268
157,Halloween,"Horror, Thriller",tt1502407,106.0,6.6,255485178,159342015,10000000.0,2018-10-18,20.23
158,The Secret Life of Pets 2,"Animation, Adventure, Comedy",tt5113040,86.0,6.6,430051293,158874395,80000000.0,2019-05-24,22.878
159,Star Trek Beyond,"Action, Adventure, Sci-Fi",tt2660888,122.0,7.1,343471816,158848340,185000000.0,2016-07-07,28.608
160,X-Men: Apocalypse,"Action, Adventure, Sci-Fi",tt3385516,144.0,7.0,543934105,155442489,178000000.0,2016-05-18,25.218000000000004
161,Snow White and the Huntsman,"Action, Adventure, Drama",tt1735898,127.0,6.1,396592829,155332381,170000000.0,2012-05-30,20.35
162,San Andreas,"Action, Adventure, Drama",tt2126355,114.0,6.1,473990832,155190832,110000000.0,2015-05-27,23.676
163,Mad Max: Fury Road,"Action, Adventure, Sci-Fi",tt1392190,120.0,8.1,374736354,154058340,150000000.0,2015-05-13,32.285
164,Trolls,"Animation, Adventure, Comedy",tt1679335,92.0,6.5,346864462,153707064,125000000.0,2016-10-13,23.653
165,Cars 3,"Animation, Adventure, Comedy",tt3606752,102.0,6.8,383930656,152901115,175000000.0,2017-06-15,19.246
166,La La Land,"Comedy, Drama, Music",tt3783958,128.0,8.0,446486224,151101803,30000000.0,2016-11-29,30.699
167,Divergent,"Action, Adventure, Mystery",tt1840309,139.0,6.7,288885818,150947895,85000000.0,2014-03-14,27.915
168,We're the Millers,"Comedy, Crime",tt1723121,110.0,7.0,269994119,150394119,37000000.0,2013-08-07,33.917
169,Daddy's Home,"Comedy, Family",tt1528854,96.0,6.2,242786137,150357137,50000000.0,2015-12-25,12.811
170,Neighbors,Comedy,tt2004420,97.0,6.3,270665134,150157400,18000000.0,2014-05-08,13.2
171,American Hustle,"Crime, Drama",tt1800241,138.0,7.2,251171807,150117807,40000000.0,2013-12-12,17.441
172,Puss in Boots,"Animation, Adventure, Comedy",tt0448694,90.0,6.6,554987477,149260504,130000000.0,2011-10-28,16.027
174,Megamind,"Animation, Action, Comedy",tt1001526,95.0,7.3,321885765,148415853,130000000.0,2010-10-28,23.744
175,Little Fockers,"Comedy, Romance",tt0970866,98.0,5.5,310650585,148383780,100000000.0,2010-12-21,13.485
176,Hotel Transylvania,"Animation, Comedy, Family",tt0837562,91.0,7.1,358375603,148313048,85000000.0,2012-09-20,18.36
177,War for the Planet of the Apes,"Action, Adventure, Drama",tt3450958,140.0,7.5,490719763,146880162,150000000.0,2017-07-11,28.568
178,The Great Gatsby,"Drama, Romance",tt1343092,143.0,7.3,353641895,144840419,105000000.0,2013-05-10,23.855
179,Pokémon Detective Pikachu,"Adventure, Comedy, Family",tt5884052,104.0,6.9,433005346,144105346,150000000.0,2019-05-03,31.479
180,Rio,"Animation, Adventure, Comedy",tt1436562,96.0,6.9,483866518,143619809,90000000.0,2011-04-03,20.459
181,Kung Fu Panda 3,"Animation, Action, Adventure",tt2267968,95.0,7.1,521170825,143528619,145000000.0,2016-01-23,26.011
182,The Meg,"Action, Horror, Sci-Fi",tt4779682,113.0,5.7,530243742,143005856,150000000.0,2018-08-09,30.414
183,The Smurfs,"Animation, Adventure, Comedy",tt0472181,103.0,5.5,563749323,142614158,110000000.0,2011-07-29,17.998
184,Shazam!,"Action, Adventure, Comedy",tt0448115,132.0,7.4,365971656,140371656,80000000.0,2019-03-29,34.084
185,Taken 2,"Action, Thriller",tt1397280,92.0,6.3,376141306,139854287,45000000.0,2012-09-27,13.736
186,The King's Speech,"Biography, Drama, History",tt1504320,118.0,8.0,423999102,138797449,15000000.0,2010-09-06,19.389
187,21 Jump Street,"Action, Comedy, Crime",tt1232829,109.0,7.2,201585328,138447667,42000000.0,2012-03-14,18.239
189,Ready Player One,"Action, Adventure, Sci-Fi",tt1677720,140.0,7.5,582890172,137690172,175000000.0,2018-03-28,30.67
190,The Conjuring,"Horror, Mystery, Thriller",tt1457767,112.0,7.5,319494638,137400141,13000000.0,2013-03-20,26.206
191,Argo,"Biography, Drama, Thriller",tt1024648,120.0,7.7,232325503,136025503,44500000.0,2012-10-11,16.71
192,Ride Along,"Action, Comedy, Crime",tt1408253,99.0,6.2,154468902,134938200,25000000.0,2014-01-07,11.298
193,Identity Thief,"Comedy, Crime, Drama",tt2024432,111.0,5.7,173965010,134506920,35000000.0,2013-02-07,12.86
194,Grown Ups 2,Comedy,tt2191701,101.0,5.4,246984278,133668525,80000000.0,2013-07-11,17.058
195,Alvin and the Chipmunks: Chipwrecked,"Animation, Adventure, Comedy",tt1615918,87.0,4.4,342695435,133110742,75000000.0,2011-12-14,18.33
196,The Wolverine,"Action, Adventure, Sci-Fi",tt1430132,126.0,6.7,414828246,132556852,120000000.0,2013-07-23,4.402
197,Wonder,"Drama, Family",tt2543472,113.0,8.0,305937718,132422809,20000000.0,2017-11-13,27.838
198,Silver Linings Playbook,"Comedy, Drama, Romance",tt1045658,122.0,7.7,236412453,132092958,21000000.0,2012-09-08,18.135
199,The Last Airbender,"Action, Adventure, Family",tt0938283,103.0,4.1,319713881,131564731,150000000.0,2010-06-30,17.045
200,Rio 2,"Animation, Adventure, Comedy",tt2357291,101.0,6.3,498781117,131538435,103000000.0,2014-03-19,17.99
201,Insurgent,"Action, Adventure, Sci-Fi",tt2908446,119.0,6.2,297002527,130179072,110000000.0,2015-03-18,30.195
202,The Peanuts Movie,"Animation, Comedy, Family",tt2452042,88.0,7.1,246233113,130178411,99000000.0,2015-11-01,12.654000000000002
203,Transformers: The Last Knight,"Action, Adventure, Sci-Fi",tt3371366,154.0,5.2,605425157,130168683,217000000.0,2017-06-16,19.102
204,Ghostbusters,"Action, Comedy, Fantasy",tt1289401,116.0,5.2,229147509,128344089,144000000.0,2016-07-14,34.103
205,Kingsman: The Secret Service,"Action, Adventure, Comedy",tt2802144,129.0,7.7,414351546,128261724,81000000.0,2014-12-13,28.498
